path,bb_x1,bb_y1,bb_x2,bb_y2,width,height,cara_cubierta
0.jpg,162.15771,182.66946,757.0218,984.954,1024,1024,1
1.jpg,270.63538,151.05698,772.86426,956.2827,1024,1024,1
10.jpg,210.97946,180.33871,769.3656,938.5868,1024,1024,1
100.jpg,248.68893,207.62671,780.08777,941.8789,1024,1024,1
1000.jpg,287.8169,246.91568,796.4995,904.77454,1024,1024,1
10000.jpg,246.61734,151.61441,793.4049,1000.641,1024,1024,1
10001.jpg,262.8111,154.47824,835.6999,981.35754,1024,1024,1
10002.jpg,281.6314,295.35104,986.3293,941.9243,1024,1024,1
10003.jpg,238.8085,183.30682,757.6244,921.4539,1024,1024,1
10004.jpg,339.79688,144.76782,870.916,973.7821,1024,1024,1
10005.jpg,218.90643,29.32721,839.8315,1017.13727,1024,1024,1
10006.jpg,262.09534,126.10385,794.3314,975.85266,1024,1024,1
10007.jpg,289.8496,156.92984,802.90356,965.0897,1024,1024,1
10008.jpg,234.19788,185.142,754.0388,979.5348,1024,1024,1
10009.jpg,275.8783,132.13611,844.0298,991.86804,1024,1024,1
1001.jpg,232.1849,151.11307,779.5852,967.5591,1024,1024,1
10010.jpg,296.59134,48.581512,958.42786,932.9259,1024,1024,1
10011.jpg,308.33432,75.62991,786.7754,941.6763,1024,1024,1
10012.jpg,234.20581,162.5784,798.244,956.9227,1024,1024,1
10013.jpg,202.2042,141.78784,762.3794,952.74146,1024,1024,1
10014.jpg,260.10684,135.97104,776.0565,908.43726,1024,1024,1
10015.jpg,188.83728,305.1928,792.24554,930.0988,1024,1024,1
10016.jpg,242.6037,177.32419,896.51447,998.14417,1024,1024,1
10017.jpg,300.702,132.81635,977.6753,926.8929,1024,1024,1
10018.jpg,228.72473,161.41159,772.0845,949.5731,1024,1024,1
10019.jpg,235.69324,140.6904,814.1107,948.8795,1024,1024,1
1002.jpg,210.30392,1.2202148,893.0575,1037.4918,1024,1024,1
10020.jpg,236.10388,196.83572,787.7819,991.8627,1024,1024,1
10021.jpg,194.92984,177.61862,769.7633,942.589,1024,1024,1
10022.jpg,132.11276,156.2883,743.99854,978.7484,1024,1024,1
10023.jpg,186.18384,180.07596,762.96844,914.8882,1024,1024,1
10024.jpg,270.24207,301.294,738.81903,871.92035,1024,1024,1
10025.jpg,288.974,131.88889,736.04297,931.04846,1024,1024,1
10026.jpg,288.31702,139.99603,733.6935,983.4898,1024,1024,1
10027.jpg,237.5033,195.15683,775.6861,1001.2588,1024,1024,1
10028.jpg,327.85974,173.92383,754.7815,932.1282,1024,1024,1
10029.jpg,284.93683,244.42831,733.12213,872.2405,1024,1024,1
1003.jpg,187.44788,128.95175,811.76,965.14185,1024,1024,1
10030.jpg,270.58948,78.18753,806.3064,1015.24585,1024,1024,1
10031.jpg,249.21185,161.7981,774.4859,911.3069,1024,1024,1
10032.jpg,230.44073,187.81625,741.98914,938.6317,1024,1024,1
10033.jpg,266.61334,175.67352,764.8963,995.6193,1024,1024,1
10034.jpg,296.14175,180.7684,887.3684,970.3058,1024,1024,1
10035.jpg,88.91174,33.57431,799.26556,980.9446,1024,1024,1
10036.jpg,206.67462,97.14267,784.24036,1043.0422,1024,1024,1
10037.jpg,310.21313,176.20364,753.8241,958.7451,1024,1024,1
10038.jpg,191.37198,158.87527,777.036,1001.83813,1024,1024,1
10039.jpg,210.39914,202.29568,777.0602,967.2023,1024,1024,1
1004.jpg,247.96558,88.90961,800.8208,992.78766,1024,1024,1
10040.jpg,165.98529,31.45044,808.387,990.0575,1024,1024,1
10041.jpg,224.90793,134.48648,804.59937,945.9352,1024,1024,1
10043.jpg,235.75601,139.09976,804.5864,981.73596,1024,1024,1
10044.jpg,251.5068,119.519196,937.07996,970.4093,1024,1024,1
10045.jpg,227.9115,167.29077,787.65594,928.6875,1024,1024,1
10046.jpg,226.53287,168.12582,800.11304,955.5928,1024,1024,1
10047.jpg,275.51828,211.22446,842.99976,941.93774,1024,1024,1
10048.jpg,227.36346,51.25357,845.3913,1006.6012,1024,1024,1
10049.jpg,211.70032,201.95657,756.1422,962.0536,1024,1024,1
1005.jpg,243.12741,126.31973,779.3688,973.10974,1024,1024,1
10050.jpg,163.21011,184.20398,741.9568,938.93896,1024,1024,1
10051.jpg,210.08719,89.16028,731.00134,984.5188,1024,1024,1
10052.jpg,231.65524,71.75821,854.7477,985.21204,1024,1024,1
10053.jpg,242.78995,146.76828,774.4148,903.51184,1024,1024,1
10054.jpg,347.24054,221.61678,680.41925,730.16864,1024,1024,1
10055.jpg,159.62036,171.92151,762.8968,959.1151,1024,1024,1
10056.jpg,240.67194,159.73853,783.3198,937.36633,1024,1024,1
10057.jpg,243.19754,143.93658,765.80994,969.4937,1024,1024,1
10058.jpg,274.99377,81.59003,752.2427,956.87714,1024,1024,1
10059.jpg,256.98224,113.805145,793.03143,954.3148,1024,1024,1
1006.jpg,315.47458,106.653076,751.04663,1001.21606,1024,1024,1
10060.jpg,251.62431,113.894196,761.10986,966.3087,1024,1024,1
10061.jpg,262.24103,160.62643,813.924,962.73047,1024,1024,1
10062.jpg,226.87082,157.74185,810.2195,972.49426,1024,1024,1
10063.jpg,241.92032,119.17709,812.69226,926.4354,1024,1024,1
10064.jpg,103.77298,103.95328,805.7169,979.24963,1024,1024,1
10065.jpg,270.0145,152.91647,827.2772,970.234,1024,1024,1
10066.jpg,317.47052,250.7232,722.0667,946.57355,1024,1024,1
10067.jpg,234.96783,163.1377,830.21173,948.57227,1024,1024,1
10068.jpg,231.96823,137.50885,763.1439,960.58356,1024,1024,1
10069.jpg,258.9042,147.1489,853.44214,968.0807,1024,1024,1
1007.jpg,164.45392,115.774445,786.4718,989.6499,1024,1024,1
10070.jpg,169.98907,200.78598,805.9107,962.43066,1024,1024,1
10071.jpg,258.10965,232.3414,809.54443,947.1731,1024,1024,1
10072.jpg,220.62863,134.1771,837.9696,910.4508,1024,1024,1
10074.jpg,20.380676,48.164276,805.80884,1012.235,1024,1024,1
10075.jpg,151.84686,149.67209,750.55023,933.45605,1024,1024,1
10076.jpg,223.73816,138.78079,808.76013,915.81995,1024,1024,1
10077.jpg,139.6059,167.79807,770.7249,979.94324,1024,1024,1
10078.jpg,219.72351,151.38379,779.594,995.8013,1024,1024,1
10079.jpg,186.61758,152.2243,771.20483,980.3024,1024,1024,1
1008.jpg,267.2175,176.81503,833.77844,935.6255,1024,1024,1
10080.jpg,230.04034,181.34467,771.242,959.18365,1024,1024,1
10081.jpg,225.12744,93.35068,771.66644,976.31287,1024,1024,1
10082.jpg,348.13782,96.367096,845.8627,992.4104,1024,1024,1
10084.jpg,255.77463,117.60419,828.3961,990.4544,1024,1024,1
10085.jpg,258.65558,254.88306,797.54083,847.43164,1024,1024,1
10086.jpg,133.79535,94.80768,788.69586,947.2341,1024,1024,1
10087.jpg,244.76376,162.64972,775.07947,938.6336,1024,1024,1
10088.jpg,100.00711,163.2174,760.5421,952.82764,1024,1024,1
